review_id,week,week_start_date,review_date,market,platform,brand,flavor,star_rating,review_text,helpful_votes,verified_purchase,is_anomaly_week,anomaly_type
R0000001,2024-W49,04-12-2024,04-12-2024,India,Amazon India,Lay's,Wafer Style,5,Lay's Wafer Style is literally the best chips in India. Paise vasool!,0,TRUE,FALSE,
R0000002,2024-W49,04-12-2024,07-12-2024,India,Amazon India,Lay's,Magic Masala,4,Lay's Magic Masala achha hai but quantity thodi kam hai packet mein. Taste great though.,12,FALSE,FALSE,
R0000003,2024-W49,04-12-2024,07-12-2024,India,Amazon India,Lay's,Wafer Style,5,Lay's Wafer Style is literally the best chips in India. Paise vasool!,15,TRUE,FALSE,
R0000004,2024-W49,04-12-2024,07-12-2024,India,Amazon India,Lay's,Chile Limon,4,Lay's Chile Limon achha hai but quantity thodi kam hai packet mein. Taste great though.,4,FALSE,FALSE,
R0000005,2024-W49,04-12-2024,09-12-2024,India,Flipkart,Lay's,American Style Cream & Onion,4,Good product. Lay's American Style Cream & Onion fresh tha. Packaging thoda improve ho sakta hai.,24,TRUE,FALSE,
R0000006,2024-W49,04-12-2024,05-12-2024,India,Amazon India,Lay's,Herb & Onion,2,Bahut disappointed. Lay's Herb & Onion stale aaya. Expiry 3 months baad hai phir bhi.,1,TRUE,FALSE,
R0000007,2024-W49,04-12-2024,08-12-2024,India,Amazon India,Lay's,Classic Salted,4,Good product. Lay's Classic Salted fresh tha. Packaging thoda improve ho sakta hai.,7,TRUE,FALSE,
R0000008,2024-W49,04-12-2024,06-12-2024,India,Flipkart,Lay's,Baked,4,Good product. Lay's Baked fresh tha. Packaging thoda improve ho sakta hai.,2,TRUE,FALSE,
R0000009,2024-W49,04-12-2024,08-12-2024,India,Amazon India,Lay's,Max Peri Peri,5,Ekdum mast hai Lay's Max Peri Peri! Fresh aur crunchy. Family favorite 😄,5,TRUE,FALSE,
R0000010,2024-W49,04-12-2024,05-12-2024,India,Amazon India,Lay's,Magic Masala,4,Good product. Lay's Magic Masala fresh tha. Packaging thoda improve ho sakta hai.,4,TRUE,FALSE,
R0000011,2024-W49,04-12-2024,06-12-2024,India,Flipkart,Lay's,Max Peri Peri,1,Zero quality control. Lay's Max Peri Peri stale. Smell bhi ajeeb tha. AVOID!,8,FALSE,FALSE,
R0000012,2024-W49,04-12-2024,09-12-2024,India,Flipkart,Lay's,Wafer Style,4,Good product. Lay's Wafer Style fresh tha. Packaging thoda improve ho sakta hai.,11,TRUE,FALSE,
R0000013,2024-W49,04-12-2024,06-12-2024,India,Amazon India,Lay's,Herb & Onion,5,Lay's Herb & Onion is literally the best chips in India. Paise vasool!,13,TRUE,FALSE,
R0000014,2024-W49,04-12-2024,09-12-2024,India,Amazon India,Lay's,Herb & Onion,4,Good product. Lay's Herb & Onion fresh tha. Packaging thoda improve ho sakta hai.,1,FALSE,FALSE,
R0000015,2024-W49,04-12-2024,04-12-2024,India,Flipkart,Lay's,Chile Limon,5,Ekdum mast hai Lay's Chile Limon! Fresh aur crunchy. Family favorite 😄,5,TRUE,FALSE,
R0000016,2024-W49,04-12-2024,04-12-2024,India,Flipkart,Lay's,Wafer Style,3,Theek hai Lay's Wafer Style. Expected better from such a big brand.,4,TRUE,FALSE,
R0000017,2024-W49,04-12-2024,09-12-2024,India,Flipkart,Lay's,Magic Masala,5,Lay's Magic Masala is literally the best chips in India. Paise vasool!,8,FALSE,FALSE,
R0000018,2024-W49,04-12-2024,08-12-2024,India,Flipkart,Lay's,Baked,3,Theek hai Lay's Baked. Expected better from such a big brand.,3,TRUE,FALSE,
R0000019,2024-W49,04-12-2024,07-12-2024,India,Amazon India,Lay's,Chile Limon,4,Good product. Lay's Chile Limon fresh tha. Packaging thoda improve ho sakta hai.,2,TRUE,FALSE,
R0000020,2024-W49,04-12-2024,06-12-2024,India,Amazon India,Lay's,Baked,3,Average. Lay's Baked pehle zyada achha lagta tha.,2,TRUE,FALSE,
R0000021,2024-W49,04-12-2024,08-12-2024,India,Flipkart,Lay's,Max Peri Peri,5,Ekdum mast hai Lay's Max Peri Peri! Fresh aur crunchy. Family favorite 😄,0,TRUE,FALSE,
R0000022,2024-W49,04-12-2024,07-12-2024,India,Amazon India,Lay's,Chile Limon,5,Superb quality! Lay's Chile Limon consistent rehta hai. Highly recommend!,5,TRUE,FALSE,
R0000023,2024-W49,04-12-2024,09-12-2024,India,Flipkart,Pringles,Cheddar Cheese,2,Pringles Cheddar Cheese stale aaya. Disappointed with freshness.,2,TRUE,FALSE,
R0000024,2024-W49,04-12-2024,04-12-2024,India,Amazon India,Pringles,Cheddar Cheese,4,Pringles Cheddar Cheese good hai. Thoda expensive but worth it.,20,FALSE,FALSE,
R0000025,2024-W49,04-12-2024,06-12-2024,India,Flipkart,Pringles,BBQ,5,Pringles BBQ — consistent quality every single time. Love it!,4,TRUE,FALSE,
R0000026,2024-W49,04-12-2024,05-12-2024,India,Flipkart,Pringles,Original,5,Pringles Original ekdum fresh! Canister packaging is the best 👌,1,TRUE,FALSE,
R0000027,2024-W49,04-12-2024,04-12-2024,India,Flipkart,Pringles,Original,4,Pringles Original good hai. Thoda expensive but worth it.,0,TRUE,FALSE,
R0000028,2024-W49,04-12-2024,04-12-2024,India,Flipkart,Pringles,Pizza,5,Pringles Pizza ekdum fresh! Canister packaging is the best 👌,25,TRUE,FALSE,
R0000029,2024-W49,04-12-2024,05-12-2024,India,Flipkart,Pringles,BBQ,5,Pringles BBQ — consistent quality every single time. Love it!,11,TRUE,FALSE,
R0000030,2024-W49,04-12-2024,10-12-2024,India,Flipkart,Pringles,Original,4,Pringles Original good hai. Thoda expensive but worth it.,12,TRUE,FALSE,
R0000031,2024-W49,04-12-2024,08-12-2024,India,Flipkart,Pringles,BBQ,4,Pringles BBQ good hai. Thoda expensive but worth it.,16,FALSE,FALSE,
R0000032,2024-W49,04-12-2024,10-12-2024,India,Flipkart,Pringles,Cheddar Cheese,3,Pringles Cheddar Cheese theek hai. Lay's se thoda zyada price ke liye expected better.,14,TRUE,FALSE,
R0000033,2024-W49,04-12-2024,10-12-2024,India,Amazon India,Doritos,Cool Ranch,5,Doritos Cool Ranch ka taste India mein bhi utna hi amazing hai!,5,TRUE,FALSE,
R0000034,2024-W49,04-12-2024,10-12-2024,India,Flipkart,Doritos,Nacho Cheese,5,Doritos Nacho Cheese ka taste India mein bhi utna hi amazing hai!,1,TRUE,FALSE,
R0000035,2024-W49,04-12-2024,04-12-2024,India,Flipkart,Doritos,Sweet Chili,5,Doritos Sweet Chili ka taste India mein bhi utna hi amazing hai!,0,TRUE,FALSE,
R0000036,2024-W49,04-12-2024,05-12-2024,India,Flipkart,Doritos,Nacho Cheese,4,Doritos Nacho Cheese good hai. Thoda zyada spicy but I liked it.,3,TRUE,FALSE,
R0000037,2024-W49,04-12-2024,09-12-2024,India,Amazon India,Doritos,Sweet Chili,4,Doritos Sweet Chili good hai. Thoda zyada spicy but I liked it.,18,TRUE,FALSE,
R0000038,2024-W49,04-12-2024,06-12-2024,India,Amazon India,Doritos,Sweet Chili,3,Doritos Sweet Chili okay hai. Pricey for what you get.,1,TRUE,FALSE,
R0000039,2024-W49,04-12-2024,10-12-2024,India,Flipkart,Doritos,Cool Ranch,5,Doritos Cool Ranch is fire! Perfect for gaming nights 🎮🔥,3,FALSE,FALSE,
R0000040,2024-W49,04-12-2024,08-12-2024,India,Amazon India,Doritos,Spicy Nacho,5,Doritos Spicy Nacho ka taste India mein bhi utna hi amazing hai!,6,TRUE,FALSE,
R0000041,2024-W49,04-12-2024,08-12-2024,US,Amazon US,Lay's,Spanish Tomato Tango,5,"My go-to for years. Lay's Spanish Tomato Tango always fresh, always delicious.",3,TRUE,FALSE,
R0000042,2024-W49,04-12-2024,06-12-2024,US,Walmart,Lay's,American Style Cream & Onion,2,Lay's American Style Cream & Onion arrived stale despite expiry being months away. Disappointed.,3,FALSE,FALSE,
R0000043,2024-W49,04-12-2024,09-12-2024,US,Amazon US,Lay's,Spanish Tomato Tango,5,"My go-to for years. Lay's Spanish Tomato Tango always fresh, always delicious.",6,TRUE,FALSE,
R0000044,2024-W49,04-12-2024,10-12-2024,US,Walmart,Lay's,American Style Cream & Onion,4,Really good chip. Lay's American Style Cream & Onion delivers on flavor. A few got crushed in shipping.,21,FALSE,FALSE,
R0000045,2024-W49,04-12-2024,07-12-2024,US,Walmart,Lay's,American Style Cream & Onion,3,Average chip. Lay's American Style Cream & Onion used to taste better.,15,TRUE,FALSE,
R0000046,2024-W49,04-12-2024,07-12-2024,US,Walmart,Lay's,American Style Cream & Onion,2,Half the bag was crushed. Lay's American Style Cream & Onion packaging terrible for shipping.,4,FALSE,FALSE,
R0000047,2024-W49,04-12-2024,07-12-2024,US,Amazon US,Lay's,Chile Limon,3,Lay's Chile Limon is decent but I've had better. Nothing special.,5,FALSE,FALSE,
R0000048,2024-W49,04-12-2024,04-12-2024,US,Walmart,Lay's,Spanish Tomato Tango,4,Really good chip. Lay's Spanish Tomato Tango delivers on flavor. A few got crushed in shipping.,22,TRUE,FALSE,
R0000049,2024-W49,04-12-2024,06-12-2024,US,Amazon US,Lay's,Baked,4,Good as always. Lay's Baked consistent quality. Wish bags were fuller.,2,FALSE,FALSE,
R0000050,2024-W49,04-12-2024,08-12-2024,US,Walmart,Lay's,Wafer Style,1,Worst experience. Lay's Wafer Style was completely rancid. Threw it out.,4,TRUE,FALSE,
R0000051,2024-W49,04-12-2024,08-12-2024,US,Walmart,Lay's,Max Peri Peri,5,"My go-to for years. Lay's Max Peri Peri always fresh, always delicious.",16,FALSE,FALSE,
R0000052,2024-W49,04-12-2024,08-12-2024,US,Walmart,Lay's,Baked,4,Good as always. Lay's Baked consistent quality. Wish bags were fuller.,18,TRUE,FALSE,
R0000053,2024-W49,04-12-2024,04-12-2024,US,Walmart,Lay's,Herb & Onion,5,"My go-to for years. Lay's Herb & Onion always fresh, always delicious.",5,FALSE,FALSE,
R0000054,2024-W49,04-12-2024,08-12-2024,US,Amazon US,Lay's,Baked,1,Worst experience. Lay's Baked was completely rancid. Threw it out.,67,TRUE,FALSE,
R0000055,2024-W49,04-12-2024,06-12-2024,US,Walmart,Lay's,Spanish Tomato Tango,4,Good as always. Lay's Spanish Tomato Tango consistent quality. Wish bags were fuller.,7,TRUE,FALSE,
R0000056,2024-W49,04-12-2024,05-12-2024,US,Amazon US,Lay's,Herb & Onion,5,Bought for the Super Bowl party — gone in 20 mins. Lay's Herb & Onion always wins!,1,TRUE,FALSE,
R0000057,2024-W49,04-12-2024,07-12-2024,US,Amazon US,Lay's,Classic Salted,2,Lay's Classic Salted arrived stale despite expiry being months away. Disappointed.,22,TRUE,FALSE,
R0000058,2024-W49,04-12-2024,08-12-2024,US,Walmart,Lay's,Magic Masala,4,Really good chip. Lay's Magic Masala delivers on flavor. A few got crushed in shipping.,3,TRUE,FALSE,
R0000059,2024-W49,04-12-2024,06-12-2024,US,Amazon US,Lay's,Chile Limon,1,ZERO stars. Lay's Chile Limon had something that was NOT a chip. Disgusting.,13,TRUE,FALSE,
R0000060,2024-W49,04-12-2024,08-12-2024,US,Walmart,Lay's,Classic Salted,4,Really good chip. Lay's Classic Salted delivers on flavor. A few got crushed in shipping.,7,TRUE,FALSE,
R0000061,2024-W49,04-12-2024,10-12-2024,US,Walmart,Lay's,Spanish Tomato Tango,4,Really good chip. Lay's Spanish Tomato Tango delivers on flavor. A few got crushed in shipping.,156,TRUE,FALSE,
R0000062,2024-W49,04-12-2024,08-12-2024,US,Walmart,Lay's,Baked,5,"My go-to for years. Lay's Baked always fresh, always delicious.",3,FALSE,FALSE,
R0000063,2024-W49,04-12-2024,04-12-2024,US,Walmart,Lay's,Max Peri Peri,4,Good as always. Lay's Max Peri Peri consistent quality. Wish bags were fuller.,5,TRUE,FALSE,
R0000064,2024-W49,04-12-2024,05-12-2024,US,Walmart,Lay's,Wafer Style,4,Really good chip. Lay's Wafer Style delivers on flavor. A few got crushed in shipping.,5,TRUE,FALSE,
R0000065,2024-W49,04-12-2024,05-12-2024,US,Amazon US,Lay's,American Style Cream & Onion,3,Average chip. Lay's American Style Cream & Onion used to taste better.,4,TRUE,FALSE,
R0000066,2024-W49,04-12-2024,07-12-2024,US,Amazon US,Lay's,Max Peri Peri,4,Good as always. Lay's Max Peri Peri consistent quality. Wish bags were fuller.,1,TRUE,FALSE,
R0000067,2024-W49,04-12-2024,09-12-2024,US,Amazon US,Lay's,Wafer Style,4,Good as always. Lay's Wafer Style consistent quality. Wish bags were fuller.,1,FALSE,FALSE,
R0000068,2024-W49,04-12-2024,10-12-2024,US,Walmart,Pringles,Sour Cream & Onion,5,"Pringles Sour Cream & Onion never fails. Perfect crunch, great flavor.",4,FALSE,FALSE,
R0000069,2024-W49,04-12-2024,07-12-2024,US,Walmart,Pringles,Sour Cream & Onion,5,Once you pop you can't stop — Sour Cream & Onion is my all-time fave Pringles!,6,FALSE,FALSE,
R0000070,2024-W49,04-12-2024,08-12-2024,US,Amazon US,Pringles,Original,5,Once you pop you can't stop — Original is my all-time fave Pringles!,3,TRUE,FALSE,
R0000071,2024-W49,04-12-2024,09-12-2024,US,Walmart,Pringles,Original,5,"Pringles Original never fails. Perfect crunch, great flavor.",3,TRUE,FALSE,
R0000072,2024-W49,04-12-2024,05-12-2024,US,Walmart,Pringles,BBQ,4,Good chip. Pringles BBQ has solid flavor. Canister makes it easy to share.,13,TRUE,FALSE,
R0000073,2024-W49,04-12-2024,04-12-2024,US,Amazon US,Pringles,Sour Cream & Onion,4,Good chip. Pringles Sour Cream & Onion has solid flavor. Canister makes it easy to share.,3,TRUE,FALSE,
R0000074,2024-W49,04-12-2024,09-12-2024,US,Walmart,Pringles,BBQ,5,Once you pop you can't stop — BBQ is my all-time fave Pringles!,1,TRUE,FALSE,
R0000075,2024-W49,04-12-2024,07-12-2024,US,Amazon US,Pringles,Pizza,5,"Pringles Pizza never fails. Perfect crunch, great flavor.",12,TRUE,FALSE,
R0000076,2024-W49,04-12-2024,08-12-2024,US,Amazon US,Pringles,Sour Cream & Onion,3,Pringles Sour Cream & Onion is fine. Nothing special at this price point.,22,TRUE,FALSE,
R0000077,2024-W49,04-12-2024,09-12-2024,US,Walmart,Pringles,BBQ,5,"Pringles BBQ never fails. Perfect crunch, great flavor.",11,FALSE,FALSE,
R0000078,2024-W49,04-12-2024,10-12-2024,US,Amazon US,Pringles,Sour Cream & Onion,4,Good chip. Pringles Sour Cream & Onion has solid flavor. Canister makes it easy to share.,3,TRUE,FALSE,
R0000079,2024-W49,04-12-2024,06-12-2024,US,Walmart,Pringles,BBQ,4,Good chip. Pringles BBQ has solid flavor. Canister makes it easy to share.,5,TRUE,FALSE,
R0000080,2024-W49,04-12-2024,04-12-2024,US,Amazon US,Doritos,Sweet Chili,5,"Doritos Sweet Chili is the perfect snack. Bold flavor, great crunch.",3,TRUE,FALSE,
R0000081,2024-W49,04-12-2024,09-12-2024,US,Amazon US,Doritos,Sweet Chili,4,Doritos Sweet Chili solid as always. Maybe slightly too salty but still great.,10,FALSE,FALSE,
